Acedamic_percentage_in_Operating_Systems,percentage_in_Algorithms,Percentage_in_Programming_Concepts,Percentage_in_Software_Engineering,Percentage_in_Computer_Networks,Percentage_in_Electronics_Subjects,Percentage_in_Computer_Architecture,Percentage_in_Mathematics,Percentage_in_Communication_skills,Logical_quotient_rating,coding_skills_rating,self-learning_capability,Extra-courses_did,certifications,workshops,talenttests_taken,reading_and_writing_skills,memory_capability_score,Interested_subjects,interested_career_area,Job_Higher_Studies,Suggested_elective_Course
93,89,80,80,86,94,66,65,77,8,3,yes,no,full stack,web technologies,no,poor,poor,hacking,system developer,higherstudies,31
93,60,82,77,79,74,73,64,84,4,9,yes,yes,information security,hacking,no,excellent,poor,data engineering,security,job,10
71,62,69,86,74,85,62,74,90,7,6,no,no,app development,database security,no,excellent,excellent,networks,cloud computing,job,18
92,87,88,61,67,87,82,62,87,4,3,no,no,distro making,testing,yes,poor,medium,IOT,Business process analyst,job,5
87,69,94,83,67,81,76,60,70,1,5,no,no,python,web technologies,no,medium,excellent,data engineering,cloud computing,job,9
77,63,80,81,82,81,80,81,71,8,1,yes,no,distro making,data science,no,excellent,medium,hacking,system developer,job,29
70,60,80,69,65,84,88,87,69,3,8,no,no,shell programming,cloud computing,yes,medium,medium,Software Engineering,Business process analyst,job,7
91,67,92,74,93,88,80,71,69,1,9,no,yes,app development,database security,no,medium,medium,networks,security,job,20
65,78,66,81,84,72,90,70,84,6,6,yes,yes,app development,hacking,no,excellent,excellent,IOT,security,job,30
60,74,89,82,61,76,69,60,67,4,1,yes,no,python,testing,no,poor,poor,cloud computing,testing,higherstudies,1
61,60,90,93,77,82,68,91,83,4,2,no,yes,full stack,hacking,no,poor,excellent,cloud computing,security,job,16
87,71,81,94,79,77,75,76,69,1,9,no,yes,hadoop,database security,no,excellent,poor,Computer Architecture,system developer,job,30
90,64,60,88,60,62,88,74,67,8,8,no,no,distro making,testing,yes,excellent,poor,Management,cloud computing,job,25
61,68,67,69,91,69,66,65,71,9,9,no,no,python,cloud computing,yes,poor,medium,cloud computing,developer,job,25
76,60,90,64,71,69,63,70,69,2,1,no,yes,information security,web technologies,no,medium,medium,Computer Architecture,cloud computing,higherstudies,11
92,74,60,65,92,92,94,63,77,1,4,yes,no,python,hacking,yes,excellent,medium,parallel computing,security,higherstudies,6
77,71,74,61,76,67,88,86,84,5,7,yes,yes,python,game development,no,medium,poor,parallel computing,testing,higherstudies,0
72,71,92,81,77,93,88,70,84,7,2,yes,yes,machine learning,game development,no,poor,excellent,IOT,Business process analyst,higherstudies,0
64,65,88,83,87,64,67,86,79,3,8,no,no,distro making,database security,no,poor,poor,Computer Architecture,system developer,higherstudies,30
69,73,89,94,74,70,73,76,74,4,2,yes,yes,distro making,web technologies,no,poor,poor,cloud computing,testing,job,8
64,93,85,70,80,89,67,86,94,7,6,no,no,distro making,system designing,no,excellent,poor,cloud computing,security,job,31
73,65,79,70,66,73,71,73,66,8,9,yes,yes,distro making,web technologies,no,excellent,medium,data engineering,developer,higherstudies,12
74,91,88,82,82,77,66,78,73,3,9,yes,yes,shell programming,database security,no,excellent,medium,parallel computing,developer,job,0
60,92,79,85,69,72,66,62,64,4,9,no,no,app development,game development,no,medium,medium,Software Engineering,testing,higherstudies,6
90,61,91,76,75,85,90,81,87,7,8,yes,no,machine learning,hacking,no,poor,excellent,networks,developer,higherstudies,29
63,87,62,83,76,94,89,61,79,4,7,yes,no,hadoop,system designing,yes,poor,excellent,Management,system developer,higherstudies,18
63,91,72,72,92,85,62,81,69,7,7,no,yes,information security,web technologies,yes,poor,excellent,programming,Business process analyst,higherstudies,32
67,91,71,78,75,81,65,87,68,5,3,yes,no,machine learning,web technologies,yes,medium,poor,IOT,developer,job,8
69,72,83,85,62,90,62,67,75,9,8,yes,yes,r programming,system designing,yes,poor,excellent,Software Engineering,testing,higherstudies,14
94,66,77,61,69,71,61,61,73,6,6,yes,yes,python,data science,yes,excellent,medium,data engineering,security,higherstudies,24
88,90,92,89,73,84,67,85,76,8,5,no,yes,app development,game development,yes,medium,poor,cloud computing,security,job,20
71,74,82,85,83,62,62,77,64,8,8,yes,yes,information security,system designing,yes,medium,poor,Software Engineering,testing,job,25
80,79,78,80,66,94,73,83,62,1,1,no,no,app development,web technologies,yes,excellent,medium,programming,Business process analyst,higherstudies,33
62,92,82,70,79,60,88,88,74,3,1,no,yes,app development,database security,yes,medium,medium,hacking,testing,job,28
86,67,76,75,81,61,86,67,67,9,9,yes,yes,machine learning,system designing,yes,medium,excellent,cloud computing,testing,job,27
72,65,71,81,76,76,71,75,76,1,2,yes,no,full stack,testing,yes,excellent,excellent,parallel computing,security,job,26
67,84,73,69,94,67,92,82,79,6,3,yes,yes,python,cloud computing,no,medium,poor,hacking,Business process analyst,higherstudies,1
61,64,72,67,85,94,92,94,79,7,6,no,no,information security,system designing,no,poor,excellent,Software Engineering,system developer,higherstudies,14
71,71,83,77,73,61,86,80,73,6,9,yes,yes,machine learning,cloud computing,no,excellent,excellent,Computer Architecture,Business process analyst,job,2
83,88,74,63,79,73,73,63,86,2,3,no,yes,shell programming,game development,no,poor,medium,networks,testing,job,21
81,89,65,94,85,74,84,67,68,6,3,no,no,hadoop,cloud computing,yes,medium,excellent,hacking,security,job,15
83,65,84,80,82,91,69,75,89,2,2,no,no,information security,data science,no,excellent,poor,parallel computing,testing,job,2
64,86,65,67,69,74,66,89,89,8,2,yes,yes,r programming,database security,no,medium,excellent,Software Engineering,testing,job,2
66,72,72,70,61,86,78,77,72,3,3,no,yes,machine learning,game development,no,medium,poor,Software Engineering,system developer,higherstudies,20
83,81,61,81,79,63,61,88,83,1,6,yes,no,full stack,web technologies,yes,poor,poor,parallel computing,developer,higherstudies,28
71,89,91,88,84,78,89,77,62,8,9,no,yes,hadoop,data science,yes,medium,excellent,cloud computing,cloud computing,higherstudies,29
93,81,63,85,66,82,67,89,72,4,6,yes,no,python,data science,yes,medium,poor,programming,developer,job,19
75,66,85,74,74,93,72,92,93,4,5,yes,yes,machine learning,database security,yes,excellent,poor,Management,Business process analyst,higherstudies,12
69,92,80,85,86,73,88,73,68,8,2,yes,no,distro making,system designing,no,excellent,poor,Software Engineering,security,higherstudies,20
71,75,79,83,75,74,61,84,69,6,8,yes,no,python,web technologies,yes,excellent,medium,networks,security,higherstudies,6
62,75,67,63,89,80,65,92,88,5,9,no,yes,distro making,cloud computing,yes,medium,excellent,networks,security,job,2
73,74,92,71,67,85,93,60,91,2,4,no,yes,information security,testing,no,excellent,poor,data engineering,system developer,higherstudies,33
73,68,82,88,61,91,71,76,70,3,2,no,yes,python,database security,yes,poor,poor,hacking,cloud computing,job,3
85,67,68,60,80,68,87,94,60,7,4,yes,no,shell programming,cloud computing,no,medium,excellent,networks,system developer,higherstudies,15
81,82,83,86,70,72,93,93,83,9,3,yes,yes,hadoop,data science,yes,poor,excellent,networks,testing,job,15
88,74,83,80,71,85,89,83,82,8,4,yes,yes,shell programming,web technologies,no,medium,medium,parallel computing,testing,job,8
82,66,89,70,72,70,91,61,76,7,5,yes,yes,r programming,system designing,no,excellent,medium,Computer Architecture,system developer,job,12
81,80,70,90,88,75,91,93,73,5,9,no,yes,r programming,database security,no,poor,medium,Software Engineering,cloud computing,job,6
64,61,63,84,63,82,66,68,63,8,1,no,yes,r programming,database security,no,excellent,poor,hacking,Business process analyst,job,25
67,90,66,63,87,90,91,88,75,9,7,no,no,distro making,cloud computing,yes,excellent,poor,cloud computing,testing,higherstudies,0
86,86,62,62,60,79,90,69,85,7,8,no,yes,machine learning,game development,no,poor,medium,Management,security,job,23
68,86,73,88,94,80,63,61,61,7,4,yes,yes,machine learning,system designing,yes,poor,excellent,hacking,testing,higherstudies,2
63,78,92,84,89,66,75,73,69,1,2,yes,yes,full stack,system designing,no,excellent,poor,data engineering,security,higherstudies,11
66,67,77,90,70,85,92,79,65,8,1,no,yes,r programming,cloud computing,yes,excellent,medium,data engineering,system developer,higherstudies,0
62,78,75,82,69,71,74,75,62,3,4,no,no,shell programming,testing,yes,medium,poor,hacking,system developer,job,11
64,84,90,86,83,94,83,76,89,4,2,yes,yes,app development,data science,no,excellent,poor,cloud computing,system developer,job,20
71,80,84,92,66,92,73,67,64,8,1,no,yes,r programming,data science,no,poor,medium,networks,Business process analyst,higherstudies,13
60,61,79,90,66,74,91,68,69,7,7,no,yes,full stack,system designing,no,medium,poor,data engineering,testing,job,21
83,61,93,81,76,79,86,76,78,9,5,no,yes,machine learning,web technologies,yes,poor,excellent,hacking,testing,higherstudies,12
73,88,69,71,81,71,88,66,62,7,3,no,no,information security,web technologies,no,medium,medium,cloud computing,system developer,higherstudies,16
90,75,88,84,75,80,86,76,90,3,6,yes,yes,r programming,database security,yes,excellent,excellent,networks,security,job,15
72,67,85,81,79,92,78,65,77,1,4,yes,no,full stack,web technologies,yes,poor,medium,Software Engineering,system developer,higherstudies,19
65,68,80,65,85,93,87,65,71,9,4,no,yes,machine learning,web technologies,no,poor,excellent,hacking,Business process analyst,job,13
65,88,61,72,74,84,81,63,89,9,8,yes,yes,information security,hacking,no,poor,excellent,cloud computing,security,job,2
90,60,87,65,75,90,67,60,71,6,7,no,yes,app development,hacking,yes,medium,excellent,Computer Architecture,cloud computing,job,10
67,81,80,76,82,85,77,65,81,9,1,no,no,full stack,cloud computing,no,poor,medium,networks,Business process analyst,higherstudies,2
77,93,61,65,74,81,89,71,85,4,9,no,yes,hadoop,cloud computing,no,poor,poor,Computer Architecture,developer,higherstudies,0
88,94,73,87,64,89,79,93,65,5,9,no,yes,machine learning,database security,yes,excellent,poor,programming,cloud computing,job,4
72,84,78,92,93,80,85,74,71,1,2,yes,no,shell programming,game development,yes,excellent,medium,programming,testing,job,7
83,79,88,75,62,70,68,91,63,5,1,no,yes,shell programming,game development,no,excellent,poor,IOT,cloud computing,higherstudies,31
89,89,74,66,69,83,71,89,67,2,7,no,no,information security,game development,yes,medium,poor,hacking,Business process analyst,higherstudies,19
72,63,74,68,69,67,94,76,79,7,2,yes,no,python,game development,yes,excellent,excellent,hacking,cloud computing,higherstudies,4
69,60,77,94,70,92,67,67,80,4,2,no,no,app development,web technologies,no,excellent,poor,networks,testing,job,22
60,91,61,88,85,75,66,94,93,8,7,no,yes,python,system designing,no,excellent,poor,programming,developer,job,31
68,67,89,94,83,70,64,88,89,7,8,yes,yes,full stack,system designing,no,medium,excellent,Software Engineering,system developer,job,0
78,88,77,67,86,90,67,75,70,8,8,yes,no,python,system designing,yes,excellent,medium,networks,testing,higherstudies,1
78,62,71,84,83,82,69,86,69,4,3,yes,no,full stack,testing,no,medium,excellent,hacking,Business process analyst,job,14
78,78,67,71,78,81,71,84,93,7,6,no,no,distro making,hacking,no,excellent,medium,parallel computing,developer,job,29
65,76,70,91,70,60,67,91,76,2,5,yes,no,distro making,database security,yes,excellent,excellent,cloud computing,system developer,higherstudies,5
91,84,61,86,79,86,87,66,62,6,5,yes,no,machine learning,hacking,yes,excellent,excellent,hacking,testing,higherstudies,3
78,83,83,63,80,69,63,64,70,7,5,yes,yes,r programming,hacking,no,poor,poor,cloud computing,security,job,19
70,78,71,69,68,86,93,81,87,2,1,no,yes,shell programming,web technologies,no,poor,excellent,programming,cloud computing,higherstudies,23
78,76,88,88,64,84,61,61,77,4,8,yes,yes,distro making,system designing,yes,excellent,poor,parallel computing,cloud computing,higherstudies,17
94,93,88,66,91,77,63,75,79,1,8,yes,no,python,cloud computing,yes,excellent,excellent,parallel computing,security,job,24
88,86,62,77,93,65,75,62,92,1,3,yes,yes,machine learning,game development,no,poor,medium,programming,system developer,higherstudies,21
80,87,93,73,64,71,84,83,69,3,5,no,no,shell programming,web technologies,yes,poor,poor,Software Engineering,system developer,job,14
61,78,87,91,62,93,76,90,85,9,8,yes,yes,hadoop,cloud computing,no,medium,excellent,programming,developer,job,7
69,60,61,67,76,93,91,62,69,1,9,no,yes,python,cloud computing,yes,poor,excellent,data engineering,system developer,job,12
64,87,64,77,60,75,74,92,61,9,6,no,no,machine learning,hacking,yes,medium,poor,parallel computing,developer,job,27
94,76,61,90,71,69,67,67,80,1,1,yes,yes,full stack,game development,yes,excellent,excellent,programming,Business process analyst,higherstudies,27
75,79,74,93,74,76,75,63,60,4,7,no,yes,shell programming,system designing,no,poor,poor,parallel computing,system developer,higherstudies,5
94,82,91,79,66,65,68,76,90,4,3,yes,no,r programming,hacking,yes,poor,poor,Management,system developer,higherstudies,13
67,89,86,88,81,71,93,61,85,6,8,no,yes,r programming,web technologies,no,medium,excellent,parallel computing,developer,higherstudies,25
65,77,76,74,86,90,64,93,78,8,3,yes,yes,information security,hacking,yes,excellent,medium,programming,testing,job,33
94,80,64,63,89,65,86,64,67,8,5,yes,yes,hadoop,game development,no,excellent,excellent,data engineering,security,higherstudies,0
69,85,84,90,93,86,65,65,63,6,6,no,yes,distro making,game development,no,excellent,excellent,data engineering,system developer,job,7
76,71,71,75,90,74,76,94,74,8,4,yes,yes,r programming,database security,yes,excellent,excellent,Computer Architecture,cloud computing,higherstudies,4
66,63,75,70,91,94,86,85,62,9,5,yes,no,machine learning,hacking,no,excellent,poor,data engineering,developer,job,22
62,67,65,61,64,92,72,77,79,8,9,no,no,full stack,testing,no,medium,poor,data engineering,Business process analyst,job,10
79,88,74,91,72,79,93,67,85,6,4,no,yes,machine learning,cloud computing,no,excellent,poor,networks,system developer,job,27
92,79,80,60,83,90,63,83,94,6,8,no,yes,full stack,data science,no,poor,medium,IOT,developer,higherstudies,27
77,91,60,86,84,62,90,84,93,5,3,yes,yes,shell programming,web technologies,no,medium,medium,hacking,testing,higherstudies,29
90,75,67,65,76,73,77,70,63,9,5,no,no,distro making,game development,no,poor,excellent,IOT,cloud computing,job,26
77,75,72,64,71,93,76,84,69,5,8,yes,yes,machine learning,database security,no,poor,poor,cloud computing,system developer,higherstudies,26
72,88,68,73,65,69,80,89,82,5,4,yes,no,full stack,game development,yes,poor,poor,parallel computing,Business process analyst,job,19
94,94,94,68,77,90,73,78,77,2,8,no,yes,hadoop,testing,no,poor,medium,IOT,developer,higherstudies,9
89,92,93,90,60,82,81,64,82,8,6,no,no,shell programming,web technologies,no,medium,poor,IOT,testing,higherstudies,21
68,83,83,62,61,72,70,79,80,8,1,yes,yes,python,data science,yes,medium,poor,data engineering,developer,higherstudies,20
89,82,60,83,89,65,60,68,71,5,3,yes,yes,shell programming,data science,no,excellent,poor,Computer Architecture,cloud computing,job,25
90,63,73,90,91,78,60,87,77,6,7,yes,yes,distro making,game development,no,excellent,medium,networks,developer,higherstudies,5
91,87,64,84,63,71,66,66,83,4,9,no,no,r programming,web technologies,no,poor,poor,networks,testing,higherstudies,21
67,75,82,81,92,62,80,67,91,6,3,yes,yes,r programming,database security,no,medium,medium,data engineering,testing,job,33
64,85,65,77,80,72,78,72,61,7,3,no,no,r programming,game development,yes,excellent,excellent,data engineering,developer,job,5
61,88,66,86,60,64,84,79,67,6,7,yes,no,hadoop,cloud computing,no,excellent,excellent,cloud computing,cloud computing,job,9
78,85,65,86,80,74,65,79,87,5,3,yes,no,machine learning,web technologies,yes,poor,medium,networks,cloud computing,job,4
94,94,81,74,92,63,94,85,60,7,1,yes,yes,shell programming,cloud computing,yes,excellent,medium,networks,security,job,6
76,92,73,70,60,84,76,83,62,8,6,no,yes,app development,system designing,yes,medium,excellent,data engineering,cloud computing,higherstudies,24
83,62,63,87,81,71,73,92,73,6,9,no,yes,python,database security,yes,medium,excellent,programming,system developer,higherstudies,11
65,67,91,62,88,62,67,64,69,4,4,no,yes,python,data science,yes,excellent,poor,IOT,security,job,21
88,76,80,94,89,74,74,86,86,2,5,yes,yes,app development,cloud computing,yes,excellent,poor,programming,security,job,6
63,86,69,67,86,60,71,91,91,3,5,no,yes,full stack,web technologies,no,excellent,poor,cloud computing,cloud computing,job,13
70,78,61,85,90,88,85,67,66,7,9,yes,no,information security,data science,yes,medium,excellent,cloud computing,testing,higherstudies,14
65,81,92,61,64,87,76,71,65,8,7,no,yes,full stack,system designing,no,poor,excellent,Computer Architecture,Business process analyst,job,20
66,91,62,64,62,89,60,94,83,4,6,yes,yes,machine learning,hacking,yes,medium,excellent,Computer Architecture,system developer,higherstudies,20
92,75,91,82,75,69,88,83,85,2,5,no,no,hadoop,database security,yes,excellent,excellent,Management,testing,higherstudies,30
84,79,79,77,72,91,65,83,82,5,5,no,no,distro making,testing,yes,excellent,medium,data engineering,security,higherstudies,13
77,81,85,60,73,86,78,81,77,9,6,yes,no,distro making,hacking,yes,poor,medium,Computer Architecture,system developer,job,10
66,85,79,63,88,88,64,80,83,8,7,no,yes,distro making,web technologies,no,poor,medium,cloud computing,cloud computing,job,6
84,79,92,63,91,83,81,93,80,7,7,no,no,full stack,system designing,yes,poor,excellent,networks,system developer,higherstudies,16
64,61,76,66,80,90,91,91,90,4,1,no,no,distro making,web technologies,yes,excellent,excellent,networks,cloud computing,job,5
79,94,61,71,88,75,62,77,80,8,7,yes,yes,python,game development,no,medium,poor,data engineering,system developer,job,31
86,74,85,90,67,78,89,71,89,6,2,yes,yes,hadoop,hacking,yes,medium,excellent,data engineering,cloud computing,higherstudies,29
65,82,60,83,84,68,63,84,70,9,3,yes,no,information security,web technologies,yes,poor,medium,parallel computing,Business process analyst,job,27
81,64,85,93,69,64,66,71,65,6,7,no,yes,distro making,system designing,yes,medium,excellent,networks,Business process analyst,job,19
72,87,67,74,65,91,69,64,69,8,9,no,no,machine learning,data science,yes,poor,medium,cloud computing,cloud computing,job,30
60,75,68,93,65,76,89,61,85,2,9,yes,yes,hadoop,web technologies,yes,poor,medium,Management,testing,job,3
70,66,80,89,73,76,83,91,73,2,7,no,yes,machine learning,cloud computing,yes,excellent,excellent,programming,developer,higherstudies,21
68,65,64,83,87,75,66,84,73,8,1,no,no,information security,testing,no,poor,medium,cloud computing,system developer,job,14
61,84,81,75,86,62,77,92,65,4,4,yes,yes,shell programming,web technologies,no,poor,excellent,parallel computing,Business process analyst,job,5
79,64,90,80,81,64,67,68,89,6,8,no,yes,information security,data science,yes,excellent,poor,programming,system developer,higherstudies,1
68,81,75,67,82,81,65,71,90,4,1,no,yes,full stack,testing,no,medium,excellent,networks,system developer,higherstudies,3
78,75,91,63,64,64,88,73,65,5,5,yes,yes,distro making,database security,yes,excellent,excellent,hacking,Business process analyst,higherstudies,24
74,71,85,68,68,82,66,67,69,3,2,no,yes,r programming,game development,yes,poor,poor,Computer Architecture,system developer,higherstudies,23
82,83,66,82,66,66,77,66,66,2,7,no,no,full stack,system designing,yes,poor,poor,Management,Business process analyst,higherstudies,23
71,75,64,82,69,89,70,62,76,5,2,yes,no,machine learning,hacking,yes,excellent,medium,networks,system developer,job,12
82,65,64,73,80,64,64,61,73,4,1,yes,yes,shell programming,hacking,no,medium,excellent,data engineering,system developer,higherstudies,5
65,74,75,73,90,61,66,66,69,8,2,no,yes,r programming,testing,no,excellent,excellent,Management,cloud computing,higherstudies,9
74,85,90,87,94,82,78,86,62,2,3,yes,yes,python,database security,no,poor,excellent,Software Engineering,testing,higherstudies,2
60,85,68,90,76,86,91,68,94,7,9,no,no,full stack,data science,no,excellent,medium,cloud computing,security,higherstudies,4
81,68,76,88,73,94,72,62,89,4,2,no,yes,distro making,hacking,no,excellent,medium,programming,security,job,2
64,73,82,90,90,81,70,71,79,1,6,yes,yes,r programming,system designing,no,poor,excellent,Management,Business process analyst,higherstudies,21
73,91,94,80,73,82,77,80,72,7,6,no,no,shell programming,game development,no,poor,excellent,networks,system developer,higherstudies,24
76,85,87,71,90,92,62,60,63,2,3,no,yes,information security,hacking,yes,medium,poor,cloud computing,testing,higherstudies,7
92,61,87,92,67,64,75,78,91,3,7,no,yes,shell programming,game development,no,excellent,excellent,networks,cloud computing,higherstudies,12
72,93,75,60,75,76,94,91,91,2,8,no,no,machine learning,data science,yes,excellent,poor,Management,testing,job,6
69,91,92,73,63,79,67,66,64,4,8,no,no,full stack,web technologies,yes,excellent,medium,parallel computing,developer,higherstudies,21
87,66,74,74,79,76,68,87,93,3,8,no,no,shell programming,cloud computing,yes,medium,medium,data engineering,cloud computing,higherstudies,15
64,84,67,70,75,80,86,60,69,5,4,yes,yes,r programming,database security,no,medium,excellent,data engineering,Business process analyst,job,12
85,94,77,84,68,72,72,81,90,5,6,no,no,information security,system designing,yes,medium,excellent,Management,testing,higherstudies,2
83,86,67,66,85,92,81,62,78,1,7,no,no,shell programming,data science,no,medium,excellent,data engineering,security,higherstudies,9
73,85,70,63,81,68,70,86,67,4,6,no,yes,hadoop,hacking,yes,excellent,medium,networks,Business process analyst,higherstudies,27
90,65,70,61,90,85,92,89,86,1,5,no,yes,machine learning,hacking,yes,poor,poor,IOT,cloud computing,higherstudies,20
85,87,82,78,78,87,64,74,71,9,9,no,no,r programming,web technologies,no,medium,excellent,hacking,developer,higherstudies,3
60,82,73,61,68,63,93,63,65,6,7,yes,yes,r programming,cloud computing,no,poor,excellent,Software Engineering,system developer,higherstudies,9
73,61,68,60,77,65,90,69,66,7,9,no,no,python,system designing,yes,poor,excellent,data engineering,security,higherstudies,10
92,64,88,89,70,71,67,79,79,5,1,no,yes,machine learning,data science,no,excellent,medium,cloud computing,testing,job,1
74,82,74,71,80,73,94,87,74,6,4,no,yes,machine learning,web technologies,yes,excellent,medium,hacking,developer,higherstudies,25
72,60,94,75,82,94,75,83,66,6,3,yes,no,r programming,data science,yes,poor,excellent,cloud computing,developer,job,14
67,86,67,79,87,94,61,89,81,7,3,yes,no,python,game development,yes,medium,poor,data engineering,developer,job,0
75,87,61,81,79,61,83,92,83,1,6,no,yes,full stack,testing,yes,poor,excellent,data engineering,developer,job,5
89,73,63,63,71,81,85,64,64,4,7,no,yes,hadoop,hacking,no,poor,poor,parallel computing,Business process analyst,higherstudies,3
63,77,91,60,84,62,86,72,94,6,9,no,yes,information security,game development,no,poor,medium,programming,developer,higherstudies,30
89,83,81,75,71,86,93,60,87,5,7,no,yes,machine learning,hacking,yes,excellent,poor,Software Engineering,cloud computing,higherstudies,32
68,73,86,67,74,79,84,62,80,9,2,yes,no,shell programming,testing,no,excellent,excellent,data engineering,developer,higherstudies,12
75,72,87,87,75,91,78,91,81,8,4,no,no,shell programming,hacking,yes,medium,excellent,networks,developer,higherstudies,12
81,67,70,94,63,79,68,80,76,8,9,yes,yes,shell programming,cloud computing,yes,poor,poor,Computer Architecture,security,job,27
68,68,74,69,73,67,66,72,62,8,5,yes,no,information security,web technologies,yes,poor,medium,IOT,developer,job,4
70,73,87,87,86,80,61,84,76,7,3,yes,yes,r programming,testing,yes,excellent,poor,cloud computing,security,higherstudies,3
79,79,94,60,89,75,78,69,84,3,3,yes,no,hadoop,web technologies,no,medium,excellent,Computer Architecture,security,higherstudies,21
93,74,67,69,81,63,94,94,81,9,7,yes,no,app development,web technologies,no,medium,medium,hacking,developer,job,8
79,64,65,87,66,80,90,67,83,2,8,yes,no,distro making,cloud computing,yes,poor,poor,Management,security,higherstudies,9
88,92,62,94,84,70,67,94,79,6,5,yes,yes,shell programming,web technologies,no,excellent,medium,networks,security,higherstudies,26
75,92,93,83,92,79,86,86,88,3,7,no,no,hadoop,web technologies,no,medium,excellent,Computer Architecture,cloud computing,job,21
86,84,64,87,73,79,85,60,92,1,4,yes,yes,machine learning,game development,no,medium,excellent,Software Engineering,system developer,higherstudies,16
76,61,66,68,68,94,93,71,68,7,4,yes,no,full stack,system designing,yes,excellent,poor,hacking,security,higherstudies,25
82,86,76,61,64,79,71,80,83,6,8,no,no,hadoop,database security,no,medium,poor,hacking,security,job,14
76,63,86,90,72,60,76,77,66,9,6,yes,no,app development,database security,yes,poor,medium,data engineering,developer,job,25
75,81,86,83,73,90,69,86,64,9,8,no,no,python,cloud computing,no,medium,medium,Computer Architecture,security,higherstudies,18
85,60,91,68,65,61,71,89,63,9,4,no,no,machine learning,hacking,yes,medium,excellent,parallel computing,testing,job,14
84,60,93,65,94,66,62,88,83,1,3,no,yes,hadoop,cloud computing,yes,medium,medium,Software Engineering,cloud computing,job,27
61,88,94,85,72,72,68,82,93,7,2,yes,yes,distro making,cloud computing,no,medium,excellent,cloud computing,developer,higherstudies,24
93,63,79,65,79,81,80,62,84,8,2,yes,no,full stack,web technologies,yes,medium,medium,networks,testing,job,18
60,73,65,65,76,64,64,77,72,3,8,yes,no,shell programming,database security,no,excellent,medium,parallel computing,Business process analyst,job,32
66,63,83,92,63,88,66,93,71,1,2,yes,no,distro making,database security,yes,poor,poor,Computer Architecture,system developer,job,27
71,92,84,67,94,86,80,85,87,7,4,no,yes,full stack,data science,no,medium,poor,hacking,cloud computing,higherstudies,21
79,65,73,63,67,74,64,72,60,9,8,no,yes,shell programming,cloud computing,yes,poor,poor,Software Engineering,testing,higherstudies,30
94,94,88,89,61,66,80,73,62,2,5,yes,no,r programming,hacking,yes,excellent,medium,networks,developer,job,27
78,72,93,89,84,86,61,68,87,8,4,yes,yes,information security,system designing,no,excellent,excellent,data engineering,system developer,higherstudies,33
61,93,66,90,78,94,71,62,77,7,6,yes,yes,hadoop,system designing,no,excellent,poor,programming,Business process analyst,job,17
63,66,68,90,69,80,70,88,90,5,8,no,yes,machine learning,cloud computing,no,medium,excellent,networks,system developer,job,22
64,83,60,69,75,62,65,93,82,8,9,no,yes,machine learning,cloud computing,no,medium,excellent,IOT,developer,job,2
71,93,70,89,68,72,77,61,87,1,5,no,no,hadoop,cloud computing,no,medium,medium,Management,testing,job,3
61,83,64,86,73,91,75,66,84,2,5,no,yes,r programming,database security,no,medium,excellent,parallel computing,cloud computing,job,10
71,79,69,89,62,92,62,89,79,3,6,no,yes,full stack,web technologies,yes,poor,poor,programming,security,job,5
83,65,80,83,73,77,83,67,91,7,6,yes,yes,machine learning,testing,yes,excellent,medium,hacking,developer,higherstudies,5
82,89,84,73,84,62,76,82,94,8,1,no,no,app development,hacking,yes,medium,poor,hacking,Business process analyst,job,30
60,85,94,87,83,69,64,63,77,1,7,no,yes,shell programming,system designing,no,medium,poor,hacking,developer,job,7
68,68,66,71,79,68,68,90,72,4,6,no,yes,machine learning,data science,no,excellent,excellent,Computer Architecture,developer,job,13
79,93,68,85,76,63,62,63,94,6,9,yes,yes,shell programming,database security,yes,medium,medium,networks,testing,job,24
74,75,92,94,64,69,76,85,87,1,5,no,no,distro making,cloud computing,yes,poor,medium,Software Engineering,testing,higherstudies,23
60,72,80,78,76,90,80,61,89,8,6,yes,no,hadoop,web technologies,yes,excellent,poor,parallel computing,developer,job,3
87,76,87,68,84,70,69,65,82,2,6,yes,yes,information security,hacking,yes,poor,poor,data engineering,testing,job,22
74,83,77,85,81,82,87,91,67,7,6,yes,no,shell programming,web technologies,yes,medium,excellent,IOT,security,job,18
72,75,94,88,76,67,86,65,92,3,4,yes,no,hadoop,testing,yes,medium,poor,cloud computing,cloud computing,higherstudies,4
70,68,92,68,87,94,92,75,83,4,3,yes,no,shell programming,game development,yes,medium,excellent,Management,system developer,higherstudies,7
79,71,62,77,83,66,71,94,70,5,6,yes,yes,app development,cloud computing,yes,poor,excellent,hacking,testing,job,13
83,60,88,83,82,77,75,92,67,6,9,yes,no,information security,system designing,no,poor,excellent,Management,security,job,26
70,90,84,63,70,71,94,77,85,2,8,no,yes,machine learning,game development,no,poor,medium,hacking,system developer,job,29
86,61,70,84,63,69,92,61,64,7,8,no,yes,app development,web technologies,no,medium,medium,parallel computing,system developer,higherstudies,4
88,86,67,81,85,60,62,85,85,6,6,yes,no,r programming,testing,yes,excellent,excellent,Computer Architecture,cloud computing,higherstudies,15
82,90,88,72,91,83,82,64,71,4,8,no,no,full stack,game development,no,poor,medium,Computer Architecture,system developer,higherstudies,18
70,93,78,65,81,86,81,82,92,3,3,yes,no,machine learning,data science,yes,excellent,poor,hacking,testing,job,30
